RecordID,BUGNO,SEX,DATE,STATUS,PATCH
L12002,1,M,6/28/2022,Marked,A
L12003,2,M,6/28/2022,Marked,A
L12004,3,M,6/28/2022,Marked,A
L12005,4,M,6/28/2022,Marked,A
L12006,5,M,6/28/2022,Marked,A
L12007,6,M,6/28/2022,Marked,A
L12008,,,6/28/2022,Unmarked,A
L12009,,,6/28/2022,Unmarked,A
L12010,7,M,6/28/2022,Marked,A
L12011,8,M,6/28/2022,Marked,A
L12012,9,M,6/28/2022,Marked,E
L12013,10,M,6/28/2022,Marked,E
L12014,11,M,6/28/2022,Marked,E
L12015,12,M,6/28/2022,Marked,E
L12016,,,6/28/2022,Unmarked,E
L12017,13,M,6/29/2022,Marked,A
L12018,14,M,6/29/2022,Marked,A
L12019,1,M,6/29/2022,Resighted,A
L12020,4,M,6/29/2022,Resighted,A
L12021,15,M,6/29/2022,Marked,A
L12022,17,M,6/29/2022,Marked,A
L12023,16,M,6/29/2022,Marked,A
L12024,18,M,6/29/2022,Marked,A
L12025,19,M,6/29/2022,Marked,A
L12026,20,F,6/29/2022,Marked,A
L12027,,M,6/29/2022,Unmarked,A
L12028,21,M,6/29/2022,Marked,A
L12029,,,6/29/2022,Unmarked,A
L12030,,,6/29/2022,Unmarked,A
L12031,23,F,6/29/2022,Marked,E
L12032,22,F,6/30/2022,Marked,E
L12033,9,M,6/29/2022,Resighted,E
L12034,9,M,6/29/2022,Resighted,E
L12035,24,M,6/29/2022,Marked,E
L12036,,,6/29/2022,Unmarked,E
L12037,11,M,6/29/2022,Resighted,E
L12038,25,F,6/29/2022,Marked,E
L12039,3,M,6/29/2022,Resighted,A
L12040,30,M,6/29/2022,Marked,A
L12041,26,M,6/29/2022,Marked,A
L12042,6,M,6/29/2022,Resighted,A
L12043,27,M,6/29/2022,Marked,A
L12044,6,M,6/29/2022,Resighted,A
L12045,28,M,6/29/2022,Marked,A
L12046,4,M,6/30/2022,Resighted,A
L12047,29,F,6/30/2022,Marked,A
L12048,26,M,6/30/2022,Resighted,A
L12049,31,F,6/30/2022,Marked,A
L12050,,,6/30/2022,Unmarked,A
L12051,32,M,6/30/2022,Marked,A
L12052,30,M,6/30/2022,Resighted,A
L12053,33,M,6/30/2022,Marked,A
L12054,34,M,6/30/2022,Marked,A
L12055,21,M,6/30/2022,Resighted,A
L12056,35,M,6/30/2022,Marked,A
L12057,,,6/30/2022,Unmarked,A
L12058,37,M,6/30/2022,Marked,C
L12059,38,M,6/30/2022,Marked,C
L12060,36,M,6/30/2022,Marked,E
L12061,9,M,6/30/2022,Resighted,E
L12062,39,M,6/30/2022,Marked,E
L12063,,M,6/30/2022,Unmarked,E
L12064,40,M,6/30/2022,Marked,E
L12065,41,F,6/30/2022,Marked,E
L12066,42,F,6/30/2022,Marked,E
L12067,6,M,6/30/2022,Resighted,A
L12068,43,M,7/1/2022,Marked,C
L12069,30,M,7/1/2022,Resighted,A
L12070,44,F,7/1/2022,Marked,A
L12071,45,M,7/1/2022,Marked,A
L12072,3,M,7/1/2022,Resighted,A
L12073,5,M,7/1/2022,Resighted,A
L12074,46,M,7/1/2022,Marked,A
L12075,47,M,7/1/2022,Marked,A
L12076,48,F,7/1/2022,Marked,A
L12077,49,F,7/1/2022,Marked,A
L12078,14,M,7/1/2022,Resighted,A
L12079,50,F,7/1/2022,Marked,A
L12080,26,M,7/1/2022,Resighted,A
L12081,51,F,7/1/2022,Marked,A
L12082,35,M,7/1/2022,Resighted,A
L12083,53,M,7/1/2022,Marked,C
L12084,54,M,7/1/2022,Marked,D
L12085,24,M,7/1/2022,Resighted,E
L12086,55,F,7/1/2022,Marked,E
L12087,56,M,7/1/2022,Marked,E
L12088,9,M,7/1/2022,Resighted,E
L12089,57,M,7/1/2022,Marked,E
L12090,58,M,7/1/2022,Marked,E
L12091,,,7/1/2022,Unmarked,E
L12092,59,M,7/1/2022,Marked,E
L12093,,,7/1/2022,Unmarked,E
L12094,60,M,7/1/2022,Marked,E
L12095,,,7/1/2022,Unmarked,E
L12096,61,M,7/1/2022,Marked,E
L12097,62,M,7/1/2022,Marked,E
L12098,11,M,7/1/2022,Resighted,E
L12099,63,M,7/1/2022,Marked,E
L12100,43,M,7/2/2022,Resighted,C
L12101,64,F,7/2/2022,Marked,A
L12102,65,F,7/2/2022,Marked,A
L12103,3,M,7/2/2022,Resighted,A
L12104,66,M,7/2/2022,Marked,A
L12105,67,F,7/2/2022,Marked,A
L12106,68,M,7/2/2022,Marked,A
L12107,69,M,7/2/2022,Marked,A
L12108,,,7/2/2022,Unmarked,A
L12109,,,7/2/2022,Unmarked,A
L12110,31,F,7/2/2022,Resighted,A
L12111,21,M,7/2/2022,Resighted,A
L12112,70,F,7/2/2022,Marked,A
